dish,cuisines,ingredients,reference 
kibbeh,Syrian,ground beef/lamb& bulgar& salt& ground black pepper& chopped coarsely onion& pine nuts& allspice& finely chopped onion& olive oil& ground cumin,https://cookpad.com/us/recipes/352810-kibbeh
kebab halabi,Syrian,ground beef& onion& tomato sauce& vermicelli rice,https://cooking.nytimes.com/recipes/1018291-kebab-halabi
kebab hindi,Syrian,chopped onion& tomato& tomato paste& minced lamb meat& salt and pepper& onion and garlic powder&vegetable oil,https://cookpad.com/us/recipes/355629-kebab-hindi-meatballs
manaqish,Syrian,APF&water&salt&sugar&olive oil,https://cookpad.com/us/recipes/1682048-manaqish
String hoppers,Srilankan,rice flour/ragi flour& salt& water,https://en.wikipedia.org/wiki/Idiyappam
Godamba Rotti,Srilankan,Flour& salt& water& Vegetable oil,http://ediblyasian.info/recipes/godhamba-roti-srilankan-savoury-pancakes-
pork chop bun,Macanese,Pork chop& Crisp crust bread bun,http://ediblyasian.info/recipes/pork-chop-bun
Minchi,Macanese,beef& pork& potatoes& onion& garlic& bay leaf& soya sauce& Worcestershire Sauce& sugar& cumin,http://ediblyasian.info/recipes/minchi
African Chicken,Macanese,garlic& bay leaves& paprika& kosher salt& chillies& garlic& olive oil& coconut milk,http://ediblyasian.info/recipes/-african-chicken-
Serradura,Macanese,Whipping cream& Marie& Condensed milk& Vanilla essence,http://ediblyasian.info/recipes/serradura-macau-sawdust-pudding-
mushroom biryani,South_Indian,Basmati Rice& Button mushroom& Onion& Green chilli& Ginger& Garlic& Tomato& Curd& Coriander& Mint& Lemon& Salt& Chilli Powder& Coriander powder& Biryani Masala& Oil& Cloves& Cardamom& Cinnamon,http://www.padhuskitchen.com/2011/10/mushroom-biryani-mushroom-biryani.html
tomato rice,South_Indian,rice& chopped& coriander& ghee& cinnamon& cloves& cardamoms& onions& ginger garlic& tomatoes& green chillies& salt,http://food.ndtv.com/recipe-tomato-rice-219503
vendhaya dosa,South_Indian,Idli rice& Urad dal& methi seeds& Salt& Oil,http://www.padhuskitchen.com/2015/03/vendhaya-dosai-recipe-fenugreek-dosa.html
ven pongal,South_Indian,Rice& Green Gram& Black Pepper& Green Chillies& Clarified Butter& Ginger& Cumin Seeds& Curry Leaves& Cashew Nuts& Ghee& Salt,http://food.ndtv.com/recipe-ven-pongal-589016
cucumber sandwich,North_Indian,cucumber& Salt& white bread& butter& White pepper,http://food.ndtv.com/food-drinks/how-to-make-the-perfect-cucumber-sandwiches-693323
masala dosa,South_Indian,Rice& Black Gram& mustard seeds& fenugreek seeds& salt& vegetable oil& potatoes& onion& green chillies& curry leaves& turmeric,http://food.ndtv.com/recipe-masala-dosa-219232
rava idli,South_Indian,Rava& Curd& Salt& Coriander leaves& Cashew nuts& Carrot& Baking soda& Oil& Mustard& Asafoetida& Urad dal& Green chilli& Ginger& Curry leaves,http://www.padhuskitchen.com/2011/07/rava-idli-rava-idli-recipe-how-to-make.html
onion tomato chutney,South_Indian,tomato& onion& ginger& garlic& sugar& salt& red chilli& garam masala& vinegar& vegetable oil,http://food.ndtv.com/recipe-tomato-chutney-555575
potato korma,South_Indian,Potato& Onion& Tomato& Green chillies& Turmeric powder& Sambar powder& Garam masala& Salt& coconut& kadalai& Sombu& Pepper& Kasa kasa& Ginger& Garlic& Oil& Fennel seeds& Cloves& Bay  leaf,http://www.padhuskitchen.com/2012/08/potato-kurma-recipe-potato-korma-for.html
curd rice,South_Indian,Rice& Yogurt& Green Chillies& Coriander Leaves& Salt& Vegetable Oil& Black Gram& Bengal Gram& Ginger& Mustard Seeds& Red Chilli& Curry Leaves& Asafoetida,http://food.ndtv.com/recipe-thayir-saadam-curd-rice-218370
kerala sambar,South_Indian,Tur dal& Tamarind& Mixed vegetables& Drumstick& Tomato& Green chilli& Turmeric powder& Salt& Oil& Bengal gram& Urad dal& Fenugreek seeds& Coriander seeds& Red chillies& Asafoetida& onion& coconut& Coconut oil& Mustard seeds& Red Chillies& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2014/08/varutharacha-sambar-recipe-kerala-style.html
appam,South_Indian, rice& fenugreek seeds& desiccated coconut& salt& vegetable oil& black gram,http://food.ndtv.com/recipe-appams-308318
beetroot rice,South_Indian,Basmati Rice& Onion& Green chilli& Ginger& garlic& Tomato& Grated Beetroot& Mint leaves& Coriander leaves& Biryani masala& Sambar powder& Salt& Water& Lemon& Oil& Fennel seeds& Bay leaf& Cloves& Cinnamon& Cardamom,http://www.padhuskitchen.com/2014/05/beetroot-rice-healthy-indian-beetroot.html
